,SHORT_NAME_ALL,SERIAL,ALL_EXT_PATH,ALL_LINK
152,BDJ Open,s41405,"['s41405', '021', '00078', '1']",https://www.nature.com/articles/s41409-021-01464-x
153,BDJ Open,s41405,"['s41405', '021', '00078', '1']",https://www.nature.com/articles/s41409-021-01484-7
154,BDJ Open,s41405,"['s41405', '021', '00075', '4']",https://www.nature.com/articles/s41409-021-01285-y
155,BDJ Open,s41405,"['s41405', '021', '00075', '4']",https://www.nature.com/articles/s41409-021-01465-w
156,BDJ Open,s41405,"['s41405', '021', '00074', '5']",https://www.nature.com/articles/s41409-021-01455-y
157,BDJ Open,s41405,"['s41405', '021', '00074', '5']",https://www.nature.com/articles/s41409-021-01481-w
158,BDJ Open,s41405,"['s41405', '021', '00073', '6']",https://www.nature.com/articles/s41409-021-01472-x
159,BDJ Open,s41405,"['s41405', '021', '00073', '6']",https://www.nature.com/articles/s41409-021-01468-7
160,BDJ Open,s41405,"['s41405', '021', '00072', '7']",https://www.nature.com/articles/s41413-021-00158-w
161,BDJ Open,s41405,"['s41405', '021', '00072', '7']",https://www.nature.com/articles/s41413-021-00157-x
162,BDJ Open,s41405,"['s41405', '021', '00071', '8']",https://www.nature.com/articles/s41413-021-00164-y
163,BDJ Open,s41405,"['s41405', '021', '00071', '8']",https://www.nature.com/articles/s41413-021-00159-9
164,BDJ Student,s41406,"['s41406', '021', '0253', 'z']",https://www.nature.com/articles/s41413-021-00156-y
165,BDJ Student,s41406,"['s41406', '021', '0253', 'z']",https://www.nature.com/articles/s41413-021-00153-1
166,BDJ Student,s41406,"['s41406', '021', '0232', '4']",https://www.nature.com/articles/s41413-021-00163-z
167,BDJ Student,s41406,"['s41406', '021', '0232', '4']",https://www.nature.com/articles/s41413-021-00155-z
168,BDJ Student,s41406,"['s41406', '021', '0232', '4']",https://www.nature.com/articles/s41413-021-00154-0
169,BDJ Student,s41406,"['s41406', '021', '0232', '4']",https://www.nature.com/articles/s41413-021-00160-2
170,BDJ Student,s41406,"['s41406', '021', '0232', '4']",https://www.nature.com/articles/s41413-021-00151-3
171,BDJ Student,s41406,"['s41406', '021', '0232', '4']",https://www.nature.com/articles/s41413-021-00152-2
172,BDJ Student,s41406,"['s41406', '021', '0251', '1']",https://www.nature.com/articles/s41413-021-00146-0
173,BDJ Student,s41406,"['s41406', '021', '0251', '1']",https://www.nature.com/articles/s41413-021-00148-y
174,BDJ Student,s41406,"['s41406', '021', '0257', '8']",https://www.nature.com/articles/s41413-021-00150-4
175,BDJ Student,s41406,"['s41406', '021', '0257', '8']",https://www.nature.com/articles/s41413-021-00149-x
176,BDJ Student,s41406,"['s41406', '021', '0228', '0']",https://www.nature.com/articles/s41413-021-00145-1
177,BDJ Student,s41406,"['s41406', '021', '0228', '0']",https://www.nature.com/articles/s41413-021-00144-2
178,BDJ Student,s41406,"['s41406', '021', '0228', '0']",https://www.nature.com/articles/s41413-021-00142-4
179,BDJ Student,s41406,"['s41406', '021', '0228', '0']",https://www.nature.com/articles/s41413-021-00136-2
180,BDJ Student,s41406,"['s41406', '021', '0228', '0']",https://www.nature.com/articles/s41415-021-3543-5
181,BDJ Student,s41406,"['s41406', '021', '0228', '0']",https://www.nature.com/articles/s41415-021-3542-6
182,BDJ Student,s41406,"['s41406', '021', '0248', '9']",https://www.nature.com/articles/s41415-021-3547-1
183,BDJ Student,s41406,"['s41406', '021', '0248', '9']",https://www.nature.com/articles/s41415-021-3559-x
184,BDJ Student,s41406,"['s41406', '021', '0248', '9']",https://www.nature.com/articles/s41415-021-3534-6
185,BDJ Student,s41406,"['s41406', '021', '0248', '9']",https://www.nature.com/articles/s41415-021-3553-3
186,BDJ Student,s41406,"['s41406', '021', '0248', '9']",https://www.nature.com/articles/s41415-021-3521-y
187,BDJ Student,s41406,"['s41406', '021', '0248', '9']",https://www.nature.com/articles/s41415-021-3558-y
188,BDJ Student,s41406,"['s41406', '021', '0247', 'x']",https://www.nature.com/articles/s41415-021-3541-7
189,BDJ Student,s41406,"['s41406', '021', '0247', 'x']",https://www.nature.com/articles/s41415-021-3518-6
190,BDJ Student,s41406,"['s41406', '021', '0254', 'y']",https://www.nature.com/articles/s41415-021-3556-0
191,BDJ Student,s41406,"['s41406', '021', '0254', 'y']",https://www.nature.com/articles/s41415-021-3544-4
192,BDJ Student,s41406,"['s41406', '021', '0261', 'z']",https://www.nature.com/articles/s41415-021-3549-z
193,BDJ Student,s41406,"['s41406', '021', '0261', 'z']",https://www.nature.com/articles/s41415-021-3551-5
194,BDJ Student,s41406,"['s41406', '021', '0252', '0']",https://www.nature.com/articles/s41415-021-3554-2
195,BDJ Student,s41406,"['s41406', '021', '0252', '0']",https://www.nature.com/articles/s41415-021-3523-9
196,BDJ Student,s41406,"['s41406', '021', '0258', '7']",https://www.nature.com/articles/s41415-021-3522-x
197,BDJ Student,s41406,"['s41406', '021', '0258', '7']",https://www.nature.com/articles/s41415-021-3519-5
198,BDJ Student,s41406,"['s41406', '021', '0249', '8']",https://www.nature.com/articles/s41415-021-3538-2
199,BDJ Student,s41406,"['s41406', '021', '0249', '8']",https://www.nature.com/articles/s41415-021-3427-8
200,BDJ Student,s41406,"['s41406', '021', '0250', '2']",https://www.nature.com/articles/s41416-021-01571-y
201,BDJ Student,s41406,"['s41406', '021', '0250', '2']",https://www.nature.com/articles/s41416-021-01532-5
202,BDJ Student,s41406,"['s41406', '021', '0256', '9']",https://www.nature.com/articles/s41416-021-01564-x
203,BDJ Student,s41406,"['s41406', '021', '0256', '9']",https://www.nature.com/articles/s41416-021-01565-w
204,BDJ Student,s41406,"['s41406', '021', '0262', 'y']",https://www.nature.com/articles/s41416-021-01557-w
205,BDJ Student,s41406,"['s41406', '021', '0262', 'y']",https://www.nature.com/articles/s41416-021-01569-6
206,BDJ Student,s41406,"['s41406', '021', '0259', '6']",https://www.nature.com/articles/s41416-021-01553-0
207,BDJ Student,s41406,"['s41406', '021', '0259', '6']",https://www.nature.com/articles/s41416-021-01559-8
208,BDJ Student,s41406,"['s41406', '021', '0260', '0']",https://www.nature.com/articles/s41416-021-01566-9
209,BDJ Student,s41406,"['s41406', '021', '0260', '0']",https://www.nature.com/articles/s41416-021-01525-4
210,BDJ Student,s41406,"['s41406', '021', '0260', '0']",https://www.nature.com/articles/s41416-021-01563-y
211,BDJ Student,s41406,"['s41406', '021', '0260', '0']",https://www.nature.com/articles/s41416-021-01561-0
212,BDJ Student,s41406,"['s41406', '021', '0260', '0']",https://www.nature.com/articles/s41416-021-01552-1
213,BDJ Student,s41406,"['s41406', '021', '0260', '0']",https://www.nature.com/articles/s41416-021-01558-9
214,BDJ Student,s41406,"['s41406', '021', '0246', 'y']",https://www.nature.com/articles/s41416-021-01556-x
215,BDJ Student,s41406,"['s41406', '021', '0246', 'y']",https://www.nature.com/articles/s41416-021-01547-y
216,BDJ Student,s41406,"['s41406', '021', '0225', '3']",https://www.nature.com/articles/s41416-021-01555-y
217,BDJ Student,s41406,"['s41406', '021', '0225', '3']",https://www.nature.com/articles/s41416-021-01549-w
218,BDJ Student,s41406,"['s41406', '021', '0244', '0']",https://www.nature.com/articles/s41416-021-01554-z
219,BDJ Student,s41406,"['s41406', '021', '0244', '0']",https://www.nature.com/articles/s41416-021-01540-5
220,BDJ Student,s41406,"['s41406', '021', '0244', '0']",https://www.nature.com/articles/s41417-021-00384-8
221,BDJ Student,s41406,"['s41406', '021', '0244', '0']",https://www.nature.com/articles/s41417-021-00391-9
222,BDJ Student,s41406,"['s41406', '021', '0244', '0']",https://www.nature.com/articles/s41417-021-00389-3
223,BDJ Student,s41406,"['s41406', '021', '0244', '0']",https://www.nature.com/articles/s41417-021-00387-5
224,BDJ Team,s41407,"['s41407', '021', '0732', '7']",https://www.nature.com/articles/s41417-021-00377-7
225,BDJ Team,s41407,"['s41407', '021', '0732', '7']",https://www.nature.com/articles/s41417-021-00386-6
226,BDJ Team,s41407,"['s41407', '021', '0735', '4']",https://www.nature.com/articles/s41417-021-00368-8
227,BDJ Team,s41407,"['s41407', '021', '0735', '4']",https://www.nature.com/articles/s41417-021-00381-x
228,BDJ Team,s41407,"['s41407', '021', '0733', '6']",https://www.nature.com/articles/s41417-021-00382-w
229,BDJ Team,s41407,"['s41407', '021', '0733', '6']",https://www.nature.com/articles/s41417-021-00383-9
230,BDJ Team,s41407,"['s41407', '021', '0731', '8']",https://www.nature.com/articles/s41417-021-00365-x
231,BDJ Team,s41407,"['s41407', '021', '0731', '8']",https://www.nature.com/articles/s41417-021-00351-3
232,BDJ Team,s41407,"['s41407', '021', '0734', '5']",https://www.nature.com/articles/s41417-021-00378-6
233,BDJ Team,s41407,"['s41407', '021', '0734', '5']",https://www.nature.com/articles/s41417-021-00374-w
234,BDJ Team,s41407,"['s41407', '021', '0722', '9']",https://www.nature.com/articles/s41417-021-00379-5
235,BDJ Team,s41407,"['s41407', '021', '0722', '9']",https://www.nature.com/articles/s41417-021-00376-8
236,BDJ Team,s41407,"['s41407', '021', '0725', '6']",https://www.nature.com/articles/s41417-021-00375-9
237,BDJ Team,s41407,"['s41407', '021', '0725', '6']",https://www.nature.com/articles/s41417-021-00373-x
238,BDJ Team,s41407,"['s41407', '021', '0728', '3']",https://www.nature.com/articles/s41417-021-00369-7
239,BDJ Team,s41407,"['s41407', '021', '0728', '3']",https://www.nature.com/articles/s41417-021-00372-y
240,BDJ Team,s41407,"['s41407', '021', '0723', '8']",https://www.nature.com/articles/s41418-021-00871-3
241,BDJ Team,s41407,"['s41407', '021', '0723', '8']",https://www.nature.com/articles/s41418-021-00888-8
242,BDJ Team,s41407,"['s41407', '021', '0719', '4']",https://www.nature.com/articles/s41418-021-00881-1
243,BDJ Team,s41407,"['s41407', '021', '0719', '4']",https://www.nature.com/articles/s41418-021-00885-x
244,BDJ Team,s41407,"['s41407', '021', '0730', '9']",https://www.nature.com/articles/s41418-021-00877-x
